,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
0,2016-01-21,2.0199001843795004,7.90600815971479,9.045780299936292,2.0199001843795004,2.0199001843795004,0.0006059082703145093,0.0006059082703145093,0.0006059082703145093,0.05690072735829913,0.05690072735829913,0.05690072735829913,-0.003207060000002933,-0.003207060000002933,-0.003207060000002933,0.059501879087987555,0.059501879087987555,0.059501879087987555,0.0,0.0,0.0,8.455642534332483
1,2016-01-22,2.0197718728239735,7.9063022365423,9.064990751045903,2.0197718728239735,2.0197718728239735,0.00030700323164429015,0.00030700323164429015,0.00030700323164429015,0.05705957079723487,0.05705957079723487,0.05705957079723487,-0.003402710102773482,-0.003402710102773482,-0.003402710102773482,0.06015527766836406,0.06015527766836406,0.06015527766836406,0.0,0.0,0.0,8.457208790647101
2,2016-01-23,2.019643561268447,7.619490694230422,8.744201592020577,2.019643561268447,2.019643561268447,-0.0010030103772181852,-0.0010030103772181852,-0.0010030103772181852,0.04166625039764056,0.04166625039764056,0.04166625039764056,-0.018013732038653918,-0.018013732038653918,-0.018013732038653918,0.06068299281351266,0.06068299281351266,0.06068299281351266,0.0,0.0,0.0,8.197215599799375
3,2016-01-24,2.0195152497129207,7.980103282282128,9.147987614803522,2.0195152497129207,2.0195152497129207,-0.0024019343626961037,-0.0024019343626961037,-0.0024019343626961037,0.06058145463526605,0.06058145463526605,0.06058145463526605,0.0019184137911187212,0.0019184137911187212,0.0019184137911187212,0.061064975206843425,0.061064975206843425,0.061064975206843425,0.0,0.0,0.0,8.515264880939911
4,2016-01-25,2.019386938157394,8.209527861312827,9.43659176214604,2.019386938157394,2.019386938157394,-0.002824217106337292,-0.002824217106337292,-0.002824217106337292,0.07706970218201256,0.07706970218201256,0.07706970218201256,0.018613968088345794,0.018613968088345794,0.018613968088345794,0.06127995120000406,0.06127995120000406,0.06127995120000406,0.0,0.0,0.0,8.802365463832553
5,2016-01-26,2.0192586266018675,8.086136947658272,9.236526520509845,2.0192586266018675,2.0192586266018675,-0.0019637747706782714,-0.0019637747706782714,-0.0019637747706782714,0.06642603660536207,0.06642603660536207,0.06642603660536207,0.0070838844946791955,0.0070838844946791955,0.0070838844946791955,0.061305926881361154,0.061305926881361154,0.061305926881361154,0.0,0.0,0.0,8.614010228410061
6,2016-01-27,2.019130315046341,7.866744607871657,9.088269471410031,2.019130315046341,2.019130315046341,-0.000542251230392883,-0.000542251230392883,-0.000542251230392883,0.05758575127442789,0.05758575127442789,0.05758575127442789,-0.002992764232685855,-0.002992764232685855,-0.002992764232685855,0.06112076673750662,0.06112076673750662,0.06112076673750662,0.0,0.0,0.0,8.460459200459944
7,2016-01-28,2.0190020034908143,7.855643298650582,9.053351822200689,2.0190020034908143,2.0190020034908143,0.00031225967590450127,0.00031225967590450127,0.00031225967590450127,0.05780803120525398,0.05780803120525398,0.05780803120525398,-0.00320706000000159,-0.00320706000000159,-0.00320706000000159,0.06070283152935106,0.06070283152935106,0.06070283152935106,0.0,0.0,0.0,8.463108442395635
8,2016-01-29,2.018873691935288,7.888459755721368,9.021361877296197,2.018873691935288,2.018873691935288,1.9163632238962456e-05,1.9163632238962456e-05,1.9163632238962456e-05,0.05664811106321051,0.05664811106321051,0.05664811106321051,-0.0034027101027819077,-0.0034027101027819077,-0.0034027101027819077,0.060031657533753446,0.060031657533753446,0.060031657533753446,0.0,0.0,0.0,8.442167370204368
9,2016-01-30,2.0187453803797615,7.599353425334339,8.740783389392824,2.0187453803797615,2.0187453803797615,-0.0010258633888942735,-0.0010258633888942735,-0.0010258633888942735,0.04004906190604709,0.04004906190604709,0.04004906190604709,-0.018013732038653404,-0.018013732038653404,-0.018013732038653404,0.05908865733359476,0.05908865733359476,0.05908865733359476,0.0,0.0,0.0,8.162857072198012
10,2016-01-31,2.018617068824235,7.923817063313249,9.090897893699026,2.018617068824235,2.018617068824235,-0.0019072657421791387,-0.0019072657421791387,-0.0019072657421791387,0.05786896899158712,0.05786896899158712,0.05786896899158712,0.0019184137910815747,0.0019184137910815747,0.0019184137910815747,0.05785782094268468,0.05785782094268468,0.05785782094268468,0.0,0.0,0.0,8.460703763945896
11,2016-02-01,2.0184887572687082,8.159258679148374,9.34707584221974,2.0184887572687082,2.0184887572687082,-0.0020639876831386734,-0.0020639876831386734,-0.0020639876831386734,0.07287637568552736,0.07287637568552736,0.07287637568552736,0.018613968088333765,0.018613968088333765,0.018613968088333765,0.056326395280332266,0.056326395280332266,0.056326395280332266,0.0,0.0,0.0,8.719735477053113
12,2016-02-02,2.018360445713182,7.898594715708953,9.091207592926555,2.018360445713182,2.018360445713182,-0.0017412226659733847,-0.0017412226659733847,-0.0017412226659733847,0.05982818172667177,0.05982818172667177,0.05982818172667177,0.007083884494660636,0.007083884494660636,0.007083884494660636,0.05448551989798453,0.05448551989798453,0.05448551989798453,0.0,0.0,0.0,8.491921342434948
13,2016-02-03,2.0182321341576555,7.68123458359274,8.904890413947292,2.0182321341576555,2.0182321341576555,-0.0016085980344598303,-0.0016085980344598303,-0.0016085980344598303,0.04772943515550194,0.04772943515550194,0.04772943515550194,-0.0029927642326980893,-0.0029927642326980893,-0.0029927642326980893,0.05233079742265987,0.05233079742265987,0.05233079742265987,0.0,0.0,0.0,8.2859492092831
14,2016-02-04,2.0181038226021286,7.677670058897291,8.785071410118205,2.0181038226021286,2.0181038226021286,-0.0019491711137869015,-0.0019491711137869015,-0.0019491711137869015,0.044706547300551305,0.044706547300551305,0.044706547300551305,-0.0032070600000002484,-0.0032070600000002484,-0.0032070600000002484,0.049862778414338456,0.049862778414338456,0.049862778414338456,0.0,0.0,0.0,8.234447556881122
15,2016-02-05,2.017975511046602,7.630132212953309,8.712371532491792,2.017975511046602,2.017975511046602,-0.0022411370000025126,-0.0022411370000025126,-0.0022411370000025126,0.0414434951081427,0.0414434951081427,0.0414434951081427,-0.0034027101027413915,-0.0034027101027413915,-0.0034027101027413915,0.047087342210886604,0.047087342210886604,0.047087342210886604,0.0,0.0,0.0,8.179307335904568
16,2016-02-06,2.0178471994910754,7.3870471154339885,8.474812721227435,2.0178471994910754,2.0178471994910754,-0.0015751216392903991,-0.0015751216392903991,-0.0015751216392903991,0.024427104133239126,0.024427104133239126,0.024427104133239126,-0.01801373203865004,-0.01801373203865004,-0.01801373203865004,0.04401595781117956,0.04401595781117956,0.04401595781117956,0.0,0.0,0.0,7.902169666997403
17,2016-02-07,2.017718887935549,7.63405864056932,8.78746830024357,2.017718887935549,2.017718887935549,0.0004600357616033195,0.0004600357616033195,0.0004600357616033195,0.04304426141331576,0.04304426141331576,0.04304426141331576,0.0019184137911133123,0.0019184137911133123,0.0019184137911133123,0.04066581186059912,0.04066581186059912,0.04066581186059912,0.0,0.0,0.0,8.203575593415632
18,2016-02-08,2.0175905763800226,7.9228188315953165,9.036399166900813,2.0175905763800226,2.0175905763800226,0.003254741494446135,0.003254741494446135,0.003254741494446135,0.05892850385581955,0.05892850385581955,0.05892850385581955,0.0186139680883411,0.0186139680883411,0.0186139680883411,0.03705979427303231,0.03705979427303231,0.03705979427303231,0.0,0.0,0.0,8.46960752433386
19,2016-02-09,2.017462264824496,7.676489954525242,8.873315936151574,2.017462264824496,2.017462264824496,0.005527793532202206,0.005527793532202206,0.005527793532202206,0.04583801388275929,0.04583801388275929,0.04583801388275929,0.0070838844946605325,0.0070838844946605325,0.0070838844946605325,0.03322633585589656,0.03322633585589656,0.03322633585589656,0.0,0.0,0.0,8.247735914920657
20,2016-02-10,2.0173339532689694,7.50468771206935,8.600678571284051,2.0173339532689694,2.0173339532689694,0.006254879061563046,0.006254879061563046,0.006254879061563046,0.0324612112208221,0.0324612112208221,0.0324612112208221,-0.0029927642326922953,-0.0029927642326922953,-0.0029927642326922953,0.029199096391951344,0.029199096391951344,0.029199096391951344,0.0,0.0,0.0,8.0270658030433
21,2016-02-11,2.017205641713443,7.389110214633815,8.50586162417105,2.017205641713443,2.017205641713443,0.005364809136242688,0.005364809136242688,0.005364809136242688,0.027174254995245565,0.027174254995245565,0.027174254995245565,-0.0032070600000067284,-0.0032070600000067284,-0.0032070600000067284,0.025016505859009604,0.025016505859009604,0.025016505859009604,0.0,0.0,0.0,7.940860956579532
22,2016-02-12,2.017077330157916,7.295636830282487,8.403533198792328,2.017077330157916,2.017077330157916,0.0036328820110405344,0.0036328820110405344,0.0036328820110405344,0.020951337622022052,0.020951337622022052,0.020951337622022052,-0.0034027101027498136,-0.0034027101027498136,-0.0034027101027498136,0.020721165713731334,0.020721165713731334,0.020721165713731334,0.0,0.0,0.0,7.840775915757015
23,2016-02-13,2.0169490186023897,7.00294112514633,8.012985545496882,2.0169490186023897,2.0169490186023897,0.0019511044299856217,0.0019511044299856217,0.0019511044299856217,0.00029649369795696837,0.00029649369795696837,0.00029649369795696837,-0.01801373203864667,-0.01801373203864667,-0.01801373203864667,0.01635912130661802,0.01635912130661802,0.01635912130661802,0.0,0.0,0.0,7.519856319092096
